Domain,Federal Agency,Level of Government,Location,Status,Note,Link,Date Added,Sector
1-800-vermont.com,,State Government,Vermont,accepted term,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19,http://1-800-vermont.com/,6/6/13 19:11,travel tourism
1800arkansas.com,,State Government,,accepted term,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38,,1/24/14 14:37,see historical
211.getcare.com,,State Government,Virginia,accepted term,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14",https://211.getcare.com/211provider/consumer/index211.do,5/27/14 14:12,virginia service
211virginia.org,,State Government,Virginia,accepted term,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17",http://211virginia.org,1/10/14 19:17,virginia service
4thjudicialda.com,,State Government,Colorado,accepted term,4th Judicial District Attorney -- Note added 1/10/14 19:17,http://4thjudicialda.com/start.aspx,1/10/14 19:17,note added
511ny.org,,State Government,New York,accepted term,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34",http://511ny.org/,1/24/14 14:33,new york
accessidaho.org,,State Government,Idaho,accepted term,State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28,http://www.accessidaho.org/,6/6/13 18:08,note added
aces.edu,,State Government,Alabama,accepted term,Alabama Cooperative Extension System -- Note added 6/12/13 16:37,http://www.aces.edu/main/,6/6/13 18:08,cooperative extension
aces.nmsu.edu/pubs,,State Government,New Mexico,accepted term,New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38,,6/6/13 18:08,new mexico
adoptpakids.org,,State Government,Pennsylvania,accepted term,Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39,http://www.adoptpakids.org/,6/6/13 18:08,exchange note
adph.org,,State Government,Alabama,accepted term,Alabama Department of Public Health -- Note added 6/12/13 16:40,http://adph.org/,6/6/13 18:08,alabama department
ag.umass.edu,,State Government,Massachusetts,accepted term,University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32,http://ag.umass.edu/,6/6/13 18:09,extension note
agrilifeextension.tamu.edu,,State Government,Texas,accepted term,Texas A&M AgriLife Extension -- Note added 3/3/15 6:32,http://agrilifeextension.tamu.edu/,6/6/13 18:08,extension note
ahfa.com,,State Government,Alabama,accepted term,Alabama Housing Finance Authority -- Note added 6/12/13 16:40,http://www.ahfa.com/,6/6/13 18:08,housing finance
ahfc.us,,State Government,Alaska,accepted term,Alaska Housing Finance Corporation -- Note added 6/6/13 18:08,http://www.ahfc.us/,6/6/13 18:08,housing finance
aidea.org,,State Government,Alaska,accepted term,Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08,http://www.aidea.org/,6/6/13 18:08,authority note
ak-prepared.com,,State Government,Alaska,accepted term,Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01,http://ak-prepared.com/,6/6/13 18:08,homeland security
akaerospace.com,,State Government,Alaska,accepted term,Alaska Aerospace Corporation (Board of directors appointed by Alaska governor) -- Note added 7/23/14 15:36,http://akaerospace.com/index.html,6/6/13 18:08,board directors
akenergyauthority.org,,State Government,Alaska,accepted term,Alaska Energy Authority -- Note added 6/6/13 18:08,http://www.akenergyauthority.org/,6/6/13 18:08,authority note
akpb.org,,State Government,Alaska,accepted term,Alaska Public Broadcasting Commission -- Note added 6/6/13 18:08,http://akpb.org/,6/6/13 17:52,commission note
akrr.com,,State Government,Alaska,accepted term,Alaska Railroad Corporation -- Note added 6/6/13 18:08,,6/6/13 18:08,alaska railroad
alabama.travel,,State Government,Alabama,accepted term,Travel and Tourism Site for Alabama -- Note added 6/6/13 19:22,http://alabama.travel/,6/6/13 19:21,travel tourism
alabamacounterdrug.com,,State Government,Alabama,accepted term,Alabama National Guard Counterdrug Program -- Note added 1/23/14 13:41,http://www.alabamacounterdrug.com/,1/23/14 13:40,national guard
alabamafilm.org,,State Government,Alabama,accepted term,Alabama Film Office -- Note added 6/12/13 16:42,http://alabamafilm.org/2010/index2.shtml,6/6/13 18:08,film office
alalinc.net,,State Government,Alabama,accepted term,"Alabama's Legal Information Center, Alabama Supreme Court and State Law Library Catalog - catalog.alalinc.net and 2.alalinc.net -- Note added 6/12/13 16:43",,6/7/13 12:00,information center
alaskarailroad.com,,State Government,Alaska,accepted term,Alaska Railroad Corporation -- Note added 7/2/13 17:55,http://www.alaskarailroad.com/,6/6/13 18:08,alaska railroad
alaskaseafood.org,,State Government,Alaska,accepted term,Alaska Seafood Marketing Institute -- Note added 6/6/13 18:08,http://alaskaseafood.org/,6/6/13 18:08,institute note
albme.org,,State Government,Alabama,accepted term,Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama -- Note added 6/12/13 16:46,http://albme.org/,6/6/13 18:08,alabama state
albop.com,,State Government,Alabama,accepted term,Alabama Board of Pharmacy -- Note added 6/12/13 16:47,http://albop.com/,6/6/13 18:08,board pharmacy
alsde.edu,,State Government,Alabama,accepted term,Alabama State Department of Education -- Note added 6/12/13 17:15,http://www.alsde.edu/Pages/home.aspx,6/6/13 18:08,alabama state
americansamoa.travel,,State Government,American Samoa,accepted term,Travel and Tourism Site for American Samoa -- Note added 6/6/13 19:22,http://www.americansamoa.travel/,6/6/13 19:11,travel tourism
amtrakcascades.com,,State Government,Washington,accepted term,"Amtrak Cascades, a train service sponsored by the state departments of transportation of Washington and Oregon. -- Note added 6/17/14 14:40",http://amtrakcascades.com/,7/30/13 13:27,note added
apdcares.org,,State Government,Florida,accepted term,Agency for Persons with Disabilities (APD) -- Note added 2/25/15 15:33,http://apdcares.org/,6/6/13 18:08,persons disabilities
apfc.org,,State Government,Alaska,accepted term,Alaska Permanent Fund Corporation -- Note added 6/6/13 18:08,http://apfc.org/home/Content/home/index.cfm,6/6/13 18:08,corporation note
apscservices.info,,State Government,Arkansas,accepted term,Arkansas Public Service Commission -- Note added 1/10/14 17:55,http://www.apscservices.info/,1/10/14 17:55,public service
arbenefits.org,,State Government,Arkansas,accepted term,ARBenefitsfor Arkansas State and Public School Plan MembersProvided by the Employee Benefit Division of the [Arkansas] Department of Finance & Administration -- Note added 12/10/14 6:24,http://portal.arbenefits.org/Pages/default.aspx,3/20/14 15:13,arkansas state
arfireprotection.org,,State Government,Arkansas,accepted term,Arkansas Fire Protection Licensing Board -- Note added 6/12/13 18:10,http://www.arfireprotection.org/,6/6/13 18:08,licensing board
arguard.org,,State Government,Arkansas,accepted term,Arkansas National Guard -- Note added 1/23/14 13:42,http://www.arguard.org/,1/23/14 13:42,national guard
arizonaguide.com,,State Government,Arizona,accepted term,Travel and Tourism Site for Arizona -- Note added 6/6/13 19:16,http://arizonaguide.com/,6/6/13 19:11,travel tourism
arizonalottery.com,,State Government,Arizona,accepted term,Arizona lottery -- Note added 11/18/13 15:03,http://www.arizonalottery.com,6/6/13 18:08,lottery note
arizonaworkforceconnection.com,,State Government,Arizona,accepted term,"Arizona's Workforce Connection!, a website of the Governor's Council on Workforce Policy developed to provide easy access to the workforce development system in Arizona. -- Note added 11/18/13 15:13",http://www.arizonaworkforceconnection.com/,6/6/13 18:08,workforce development
ark-ives.com,,State Government,Arkansas,accepted term,"Arkansas History Commission, a division of the Arkansas Department of Parks and Tourism -- Note added 12/10/14 6:32",http://www.ark-ives.com/,6/6/13 18:08,division arkansas
arkansas.com,,State Government,Arkansas,accepted term,Travel and Tourism Site for Arkansas -- Note added 6/6/13 19:23,http://www.arkansas.com/,6/6/13 19:11,travel tourism
arkansasctf.org,,State Government,Arkansas,accepted term,Arkansas Children's Trust Fund -- Note added 7/17/13 16:07,http://www.arkansasctf.org/,6/6/13 18:08,trust fund
arkansased.org,,State Government,Arkansas,accepted term,Arkansas Department of Education -- Note added 12/10/14 6:56,http://www.arkansased.org/,6/6/13 18:08,arkansas department
arkansasedc.com,,State Government,Arkansas,accepted term,Arkansas Economic Development Coorporation (AEDC) -- Note added 1/24/14 14:36,http://arkansasedc.com/,1/24/14 14:36,economic development
arkansasethics.com,,State Government,Arkansas,accepted term,Arkansas Ethics Commission -- Note added 7/17/13 16:13,http://arkansasethics.com/,6/6/13 18:08,commission note
arkidsfirst.com,,State Government,Arkansas,accepted term,"ARKids First health insurance, Arkansas Department of Human Services -- Note added 1/10/14 19:17",http://arkidsfirst.com/home.htm,1/10/14 19:17,health insurance
arlpc.org,,State Government,Arkansas,accepted term,Arkansas Livestock and Poultry Commission -- Note added 7/17/13 16:14,http://www.arlpc.org/index.asp,6/6/13 18:08,commission note
armedicalboard.org,,State Government,Arkansas,accepted term,Arkansas State Medical Board -- Note added 7/17/13 17:16,http://armedicalboard.org/,6/6/13 18:08,arkansas state
aroptometry.org,,State Government,Arkansas,accepted term,Arkansas State Board of Optometry -- Note added 11/18/13 15:44,http://www.aroptometry.org/,6/6/13 18:08,arkansas state
arptb.org,,State Government,Arkansas,accepted term,Arkansas State Board of Physical Therapy -- Note added 11/18/13 15:45,http://www.arptb.org/,6/6/13 18:08,arkansas state
asbca.org,,State Government,Arkansas,accepted term,Arkansas State Board of Collection Agencies -- Note added 11/18/13 15:45,http://www.asbca.org/,6/6/13 18:08,arkansas state
asdd.com,,State Government,Alabama,accepted term,"Alabama State Port Authority, Mobile, AL -- Note added 6/12/13 17:16",http://asdd.com/,6/6/13 18:08,alabama state
asgteo.com,,State Government,American Samoa,accepted term,American Samoa Territorial Energy Office -- Note added 6/7/13 14:55,http://asgteo.com/,6/7/13 14:54,american samoa
askpsc.com,,State Government,New York,accepted term,New York State Public Service Commission’s Consumer Web Site -- Note added 1/10/14 19:17,http://www.askpsc.com/,1/10/14 19:17,new york
asmdc.org,,State Government,California,accepted term,"California State Assembly Democratic Caucus, State of California -- Note added 6/6/13 18:08",,6/6/13 18:08,california state
atlfa.org,,State Government,Virginia,accepted term,Assistive Technology Loan Fund Authority. The authority offers low interest loans for a variety of special equipment to eligible applicants. See the establishing law at http://law.lis.virginia.gov/authorities/assistive-technology-loan-fund-authority-atlfa  -- Note added 7/23/14 15:46,http://atlfa.org/,6/6/13 18:08,assistive technology
